	State	Value
0	((0, 0), '1')	1.0
1	((0, 0), '0')	0.18749200119140377
2	((0, 0), 'sink')	0.0
3	((0, 1), '1')	1.0
4	((0, 1), '0')	0.20799594714006542
5	((0, 1), 'sink')	0.0
6	((0, 2), '1')	1.0
7	((0, 2), '0')	0.202774915789595
8	((0, 2), 'sink')	0.0
9	((0, 3), '1')	1.0
10	((0, 3), '0')	0.0
11	((0, 3), 'sink')	0.0
12	((0, 4), '1')	1.0
13	((0, 4), '0')	0.0
14	((0, 4), 'sink')	0.0
15	((0, 5), '1')	1.0
16	((0, 5), '0')	0.7629801368629748
17	((0, 5), 'sink')	0.0
18	((0, 6), '1')	1.0
19	((0, 6), '0')	0.8573504637547219
20	((0, 6), 'sink')	0.0
21	((0, 7), '1')	1.0
22	((0, 7), '0')	0.7631361270783789
23	((0, 7), 'sink')	0.0
24	((1, 0), '1')	1.0
25	((1, 0), '0')	0.2109695636688494
26	((1, 0), 'sink')	0.0
27	((1, 1), '1')	1.0
28	((1, 1), '0')	0.24009989529413267
29	((1, 1), 'sink')	0.0
30	((1, 2), '1')	1.0
31	((1, 2), '0')	0.25563233409304037
32	((1, 2), 'sink')	0.0
33	((1, 3), '1')	1.0
34	((1, 3), '0')	0.0
35	((1, 3), 'sink')	0.0
36	((1, 4), '1')	1.0
37	((1, 4), '0')	0.0
38	((1, 4), 'sink')	0.0
39	((1, 5), '1')	1.0
40	((1, 5), '0')	0.8557732293545255
41	((1, 5), 'sink')	0.0
42	((1, 6), '1')	1.0
43	((1, 6), '0')	0.7714734662832322
44	((1, 6), 'sink')	0.0
45	((1, 7), '1')	1.0
46	((1, 7), '0')	0.8573504637547219
47	((1, 7), 'sink')	0.0
48	((2, 0), '1')	1.0
49	((2, 0), '0')	0.23581509944275014
50	((2, 0), 'sink')	0.0
51	((2, 1), '1')	1.0
52	((2, 1), '0')	0.27514683957717023
53	((2, 1), 'sink')	0.0
54	((2, 2), '1')	1.0
55	((2, 2), '0')	0.3250324215507895
56	((2, 2), 'sink')	0.0
57	((2, 3), '1')	1.0
58	((2, 3), '0')	0.4194798770589108
59	((2, 3), 'sink')	0.0
60	((2, 4), '1')	1.0
61	((2, 4), '0')	0.5826109403595984
62	((2, 4), 'sink')	0.0
63	((2, 5), '1')	1.0
64	((2, 5), '0')	0.7456113004095296
65	((2, 5), 'sink')	0.0
66	((2, 6), '1')	1.0
67	((2, 6), '0')	0.8557732293545255
68	((2, 6), 'sink')	0.0
69	((2, 7), '1')	1.0
70	((2, 7), '0')	0.762980136862975
71	((2, 7), 'sink')	0.0
72	((3, 0), '1')	1.0
73	((3, 0), '0')	0.20802349129990105
74	((3, 0), 'sink')	0.0
75	((3, 1), '1')	1.0
76	((3, 1), '0')	0.2168278387125537
77	((3, 1), 'sink')	0.0
78	((3, 2), '1')	1.0
79	((3, 2), '0')	0.0
80	((3, 2), 'sink')	0.0
81	((3, 3), '1')	1.0
82	((3, 3), '0')	0.0
83	((3, 3), 'sink')	0.0
84	((3, 4), '1')	1.0
85	((3, 4), '0')	0.5085644896081896
86	((3, 4), 'sink')	0.0
87	((3, 5), '1')	1.0
88	((3, 5), '0')	0.5826109403595984
89	((3, 5), 'sink')	0.0
90	((3, 6), '1')	1.0
91	((3, 6), '0')	0.0
92	((3, 6), 'sink')	0.0
93	((3, 7), '1')	1.0
94	((3, 7), '0')	0.0
95	((3, 7), 'sink')	0.0
96	((4, 0), '1')	1.0
97	((4, 0), '0')	0.1816469205948578
98	((4, 0), 'sink')	0.0
99	((4, 1), '1')	1.0
100	((4, 1), '0')	0.17246426672657592
101	((4, 1), 'sink')	0.0
102	((4, 2), '1')	1.0
103	((4, 2), '0')	0.0
104	((4, 2), 'sink')	0.0
105	((4, 3), '1')	1.0
106	((4, 3), '0')	0.0
