	State	Action
0	((0, 0), ('0', '1'))	aT
1	((0, 0), 'sink')	0
2	((0, 0), ('1', '0'))	aT
3	((0, 0), ('0', '0'))	1
4	((0, 0), ('1', '1'))	aT
5	((0, 1), ('0', '1'))	aT
6	((0, 1), 'sink')	0
7	((0, 1), ('1', '0'))	aT
8	((0, 1), ('0', '0'))	2
9	((0, 1), ('1', '1'))	aT
10	((0, 2), ('0', '1'))	aT
11	((0, 2), 'sink')	0
12	((0, 2), ('1', '0'))	aT
13	((0, 2), ('0', '0'))	2
14	((0, 2), ('1', '1'))	aT
15	((0, 3), ('0', '1'))	aT
16	((0, 3), 'sink')	0
17	((0, 3), ('1', '0'))	aT
18	((0, 3), ('0', '0'))	0
19	((0, 3), ('1', '1'))	aT
20	((0, 4), ('0', '1'))	aT
21	((0, 4), 'sink')	0
22	((0, 4), ('1', '0'))	aT
23	((0, 4), ('0', '0'))	0
24	((0, 4), ('1', '1'))	aT
25	((0, 5), ('0', '1'))	aT
26	((0, 5), 'sink')	0
27	((0, 5), ('1', '0'))	aT
28	((0, 5), ('0', '0'))	0
29	((0, 5), ('1', '1'))	aT
30	((0, 6), ('0', '1'))	aT
31	((0, 6), 'sink')	0
32	((0, 6), ('1', '0'))	aT
33	((0, 6), ('0', '0'))	1
34	((0, 6), ('1', '1'))	aT
35	((0, 7), ('0', '1'))	aT
36	((0, 7), 'sink')	0
37	((0, 7), ('1', '0'))	aT
38	((0, 7), ('0', '0'))	1
39	((0, 7), ('1', '1'))	aT
40	((1, 0), ('0', '1'))	aT
41	((1, 0), 'sink')	0
42	((1, 0), ('1', '0'))	aT
43	((1, 0), ('0', '0'))	2
44	((1, 0), ('1', '1'))	aT
45	((1, 1), ('0', '1'))	aT
46	((1, 1), 'sink')	0
47	((1, 1), ('1', '0'))	aT
48	((1, 1), ('0', '0'))	2
49	((1, 1), ('1', '1'))	aT
50	((1, 2), ('0', '1'))	aT
51	((1, 2), 'sink')	0
52	((1, 2), ('1', '0'))	aT
53	((1, 2), ('0', '0'))	2
54	((1, 2), ('1', '1'))	aT
55	((1, 3), ('0', '1'))	aT
56	((1, 3), 'sink')	0
57	((1, 3), ('1', '0'))	aT
58	((1, 3), ('0', '0'))	0
59	((1, 3), ('1', '1'))	aT
60	((1, 4), ('0', '1'))	aT
61	((1, 4), 'sink')	0
62	((1, 4), ('1', '0'))	aT
63	((1, 4), ('0', '0'))	0
64	((1, 4), ('1', '1'))	aT
65	((1, 5), ('0', '1'))	aT
66	((1, 5), 'sink')	0
67	((1, 5), ('1', '0'))	aT
68	((1, 5), ('0', '0'))	0
69	((1, 5), ('1', '1'))	aT
70	((1, 6), ('0', '1'))	aT
71	((1, 6), 'sink')	0
72	((1, 6), ('1', '0'))	aT
73	((1, 6), ('0', '0'))	3
74	((1, 6), ('1', '1'))	aT
75	((1, 7), ('0', '1'))	aT
76	((1, 7), 'sink')	0
77	((1, 7), ('1', '0'))	aT
78	((1, 7), ('0', '0'))	2
79	((1, 7), ('1', '1'))	aT
80	((2, 0), ('0', '1'))	aT
81	((2, 0), 'sink')	0
82	((2, 0), ('1', '0'))	aT
83	((2, 0), ('0', '0'))	3
84	((2, 0), ('1', '1'))	aT
85	((2, 1), ('0', '1'))	aT
86	((2, 1), 'sink')	0
87	((2, 1), ('1', '0'))	aT
88	((2, 1), ('0', '0'))	2
89	((2, 1), ('1', '1'))	aT
90	((2, 2), ('0', '1'))	aT
91	((2, 2), 'sink')	0
92	((2, 2), ('1', '0'))	aT
93	((2, 2), ('0', '0'))	3
94	((2, 2), ('1', '1'))	aT
95	((2, 3), ('0', '1'))	aT
96	((2, 3), 'sink')	0
97	((2, 3), ('1', '0'))	aT
98	((2, 3), ('0', '0'))	2
99	((2, 3), ('1', '1'))	aT
100	((2, 4), ('0', '1'))	aT
101	((2, 4), 'sink')	0
102	((2, 4), ('1', '0'))	aT
103	((2, 4), ('0', '0'))	1
104	((2, 4), ('1', '1'))	aT
105	((2, 5), ('0', '1'))	aT
106	((2, 5), 'sink')	0
107	((2, 5), ('1', '0'))	aT
108	((2, 5), ('0', '0'))	0
109	((2, 5), ('1', '1'))	aT
110	((2, 6), ('0', '1'))	aT
111	((2, 6), 'sink')	0
112	((2, 6), ('1', '0'))	aT
113	((2, 6), ('0', '0'))	3
114	((2, 6), ('1', '1'))	aT
115	((2, 7), ('0', '1'))	aT
116	((2, 7), 'sink')	0
117	((2, 7), ('1', '0'))	aT
118	((2, 7), ('0', '0'))	3
119	((2, 7), ('1', '1'))	aT
120	((3, 0), ('0', '1'))	aT
121	((3, 0), 'sink')	0
122	((3, 0), ('1', '0'))	aT
123	((3, 0), ('0', '0'))	3
124	((3, 0), ('1', '1'))	aT
125	((3, 1), ('0', '1'))	aT
126	((3, 1), 'sink')	0
127	((3, 1), ('1', '0'))	aT
128	((3, 1), ('0', '0'))	2
129	((3, 1), ('1', '1'))	aT
130	((3, 2), ('0', '1'))	aT
131	((3, 2), 'sink')	0
132	((3, 2), ('1', '0'))	aT
133	((3, 2), ('0', '0'))	0
134	((3, 2), ('1', '1'))	aT
135	((3, 3), ('0', '1'))	aT
136	((3, 3), 'sink')	0
137	((3, 3), ('1', '0'))	aT
138	((3, 3), ('0', '0'))	0
139	((3, 3), ('1', '1'))	aT
140	((3, 4), ('0', '1'))	aT
141	((3, 4), 'sink')	0
142	((3, 4), ('1', '0'))	aT
143	((3, 4), ('0', '0'))	0
144	((3, 4), ('1', '1'))	aT
145	((3, 5), ('0', '1'))	aT
146	((3, 5), 'sink')	0
147	((3, 5), ('1', '0'))	aT
148	((3, 5), ('0', '0'))	2
149	((3, 5), ('1', '1'))	aT
150	((3, 6), ('0', '1'))	aT
151	((3, 6), 'sink')	0
152	((3, 6), ('1', '0'))	aT
153	((3, 6), ('0', '0'))	0
154	((3, 6), ('1', '1'))	aT
155	((3, 7), ('0', '1'))	aT
156	((3, 7), 'sink')	0
157	((3, 7), ('1', '0'))	aT
158	((3, 7), ('0', '0'))	0
159	((3, 7), ('1', '1'))	aT
160	((4, 0), ('0', '1'))	aT
161	((4, 0), 'sink')	0
162	((4, 0), ('1', '0'))	aT
163	((4, 0), ('0', '0'))	3
164	((4, 0), ('1', '1'))	aT
165	((4, 1), ('0', '1'))	aT
166	((4, 1), 'sink')	0
167	((4, 1), ('1', '0'))	aT
168	((4, 1), ('0', '0'))	2
169	((4, 1), ('1', '1'))	aT
170	((4, 2), ('0', '1'))	aT
171	((4, 2), 'sink')	0
172	((4, 2), ('1', '0'))	aT
173	((4, 2), ('0', '0'))	0
174	((4, 2), ('1', '1'))	aT
175	((4, 3), ('0', '1'))	aT
176	((4, 3), 'sink')	0
177	((4, 3), ('1', '0'))	aT
178	((4, 3), ('0', '0'))	0
179	((4, 3), ('1', '1'))	aT
180	((4, 4), ('0', '1'))	aT
181	((4, 4), 'sink')	0
182	((4, 4), ('1', '0'))	aT
183	((4, 4), ('0', '0'))	0
184	((4, 4), ('1', '1'))	aT
185	((4, 5), ('0', '1'))	aT
186	((4, 5), 'sink')	0
187	((4, 5), ('1', '0'))	aT
188	((4, 5), ('0', '0'))	2
189	((4, 5), ('1', '1'))	aT
190	((4, 6), ('0', '1'))	aT
191	((4, 6), 'sink')	0
192	((4, 6), ('1', '0'))	aT
193	((4, 6), ('0', '0'))	0
194	((4, 6), ('1', '1'))	aT
195	((4, 7), ('0', '1'))	aT
